종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2320","5","0.22","2315","2335","2285","64779","150089580","112605009440","48536642"
"095570","AJ네트웍스","KOSPI",,"4165","15","0.36","4120","4205","4120","113978","474493185","188477741235","45252759"
"006840","AK홀딩스","KOSPI",,"17980","-20","-0.11","18000","18000","17820","2382","42641580","238191146780","13247561"
"054620","APS","KOSDAQ","중견기업부","6840","-20","-0.29","6800","6980","6710","27604","188874240","139496471640","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","19800","730","3.83","19150","19900","19100","241686","4722802850","302572135800","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14230","-320","-2.20","14290","14380","13900","260824","3702940410","214621185920","15082304"
"027410","BGF","KOSPI",,"3570","30","0.85","3545","3570","3530","46765","165753200","341708943870","95716791"
"282330","BGF리테일","KOSPI",,"135400","1900","1.42","133400","136500","132100","37375","5037729700","2340240872400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4270","-50","-1.16","4260","4580","4210","1432454","6267281745","230722084250","54033275"
"138930","BNK금융지주","KOSPI",,"7100","30","0.42","7050","7130","7040","519093","3686345840","2286827909800","322088438"
"001460","BYC","KOSPI",,"417500","5000","1.21","415000","419500","410000","21","8779000","260776762500","624615"
"001465","BYC우","KOSPI",,"140600","200","0.14","140800","140800","140600","79","11121200","30283131000","215385"
"013720","CBI","KOSDAQ","중견기업부","1726","13","0.76","1735","1754","1715","205151","354903665","70217318408","40682108"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2765","-5","-0.18","2795","2815","2750","56106","155591430","212612413230","76894182"
"001040","CJ","KOSPI",,"90000","500","0.56","89900","90200","87600","52554","4706963800","2625929820000","29176998"
"079160","CJ CGV","KOSPI",,"5590","130","2.38","5460","5670","5420","929975","5198879000","684390883150","122431285"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","67700","-700","-1.02","67800","69000","67200","50111","3422655900","1484603725800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","15420","900","6.20","14520","15600","14450","65417","1001579300","140514780840","9112502"
"00104K","CJ4우(전환)","KOSPI",,"69900","400","0.58","69500","69900","68700","2543","177082600","295433188800","4226512"
"000120","CJ대한통운","KOSPI",,"89900","2500","2.86","87400","92900","86500","309505","28112334200","2050829725600","22812344"
"011150","CJ씨푸드","KOSPI",,"2790","85","3.14","2695","2805","2695","132810","368161305","100246856670","35930773"
"011155","CJ씨푸드1우","KOSPI",,"19510","50","0.26","19500","19800","19500","78","1534540","3902000000","200000"
"001045","CJ우","KOSPI",,"48300","250","0.52","48250","48300","48050","651","31412500","109168770900","2260223"
